 ,Title,genres,original_language,overview,poster_path
1206,Changing the Game,Documentary,en,"Transgender high school athletes from across the country compete at the top of their fields, while also challenging the boundaries and perceptions of fairness and discrimination.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTGj_g74fV7407Bl757L3nUkyH49KCwtPUR03WKNrfFoIOmXHQF23SoE9jichZxa05m0wHL
1207,Spirit Untamed,"Animation,Adventure,Family,Western",en,Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSIKAaua9AB-XTMW04UE1_xti3RnZmlv-2-n-4GSzN1sylcBjI8Fnv37IxJD-BnSVx2NpWu
1226,Rita Moreno: Just a Girl Who Decided to Go for It,Documentary,en,"Rita Moreno defied both her humble upbringing and relentless racism to become one of a select group who have won an Emmy, Grammy, Oscar and Tony Award. Over a seventy year career, she has paved the way for Hispanic-American performers by refusing to be pigeonholed into one-dimensional stereotypes.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR38h6nfOIKqS64sOjHBIX_L3TXk6De6eWlfLzFKcssZoT8N7L-3o4klMgQH1xo2_s3i-4p
1227,The Sparks Brothers,"Documentary,Music",en,"Take a musical odyssey through five weird and wonderful decades with brothers Ron & Russell Mael, celebrating the inspiring legacy of Sparks: your favorite band’s favorite band.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCFRyoVFZq5nEpw1Xb3D7cmQatlO9vslj7jk5_sA4D6X1IV72jiHa3EIM7fdl9Y9jhcrU5aw
1228,Truman & Tennessee: An Intimate Conversation,Documentary,en,"The parallel lives of writer Truman Capote (1924-84) and playwright Tennessee Williams (1911-83): two friends, two geniuses who, while creating sublime works, were haunted by the ghosts of the past, the shadow of constant doubt, the demon of addictions and the blinding, deceptive glare of success.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcShKtOW05qhwgrEUGjQsNOaBhx_AkohnHczfisLwinCm4LZG40Vj9oY4wT_brB9ZiKXQrpv0Q
1230,A Crime on the Bayou,Documentary,en,"A Crime on the Bayou is the story of Gary Duncan, a Black teenager from Plaquemines Parish, a swampy strip of land south of New Orleans. In 1966, Duncan tries to break up an argument between white and Black teenagers outside a newly integrated school. He gently lays his hand on a white boy’s arm. The boy recoils like a snake. That night, police burst into Duncan’s trailer and arrest him for assault on a minor. A young Jewish attorney, Richard Sobol, leaves his prestigious D.C. firm to volunteer in New Orleans. With his help, Duncan bravely stands up to a racist legal system powered by a white supremacist boss to challenge his unfair arrest. Their fight goes all the way to the U.S. Supreme Court, and their lifelong friendship is forged.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvfef3eZTCImnqiI0TdAUvb7071aTqw7_j9xNI2H-jhgXGUrHvkwxQVQQ5Vjjl5WBlhMPi
1237,Mary J. Blige's My Life,"Documentary,Music",en,"Mary J. Blige set the music world on fire with her trailblazing 1994 LP ""My Life."" The singer, producer and actress reveals the demons and blessings that inspired the record and propelled her to international stardom. She celebrates the 25th anniversary of her most influential work by performing the album live for the first time.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIxs_HbhDwJhGV9K4Xg_wckmj0h211opiSZsmXKX2pagbCfrIBjLnX5CfCKkq8gAJnU0uB
1238,Fathom,Documentary,en,Two biologists set out on an undertaking as colossal as their subjects—deciphering the complex communication of whales. Dr. Michelle Fournet and Dr. Ellen Garland journey to opposite hemispheres to uncover a culture eons older than our own.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQgOse0LwsMiKDB1YL9Elq5f4DLaw9nPiWLWlEVFIE0A-UzWI47
1255,Roadrunner: A Film About Anthony Bourdain,Documentary,en,"An intimate, behind-the-scenes look at how an anonymous chef became a world-renowned cultural icon. This unflinching look at Anthony Bourdain reverberates with his presence, in his own voice and in the way he indelibly impacted the world around him.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRwL8gEGO5gTX91zalwWDm52mlLCctmrDE6yQFR9r_A_Sbr031vTnzX5yaXjgzamvqoVjpHyQ
1263,Val,Documentary,en,"For over 40 years Val Kilmer, one of Hollywood’s most mercurial and/or misunderstood actors has been documenting his own life and craft through film and video. He has amassed thousands of hours of footage, from 16mm home movies made with his brothers, to time spent in iconic roles for blockbuster movies like Top Gun, The Doors, Tombstone, and Batman Forever. This raw, wildly original and unflinching documentary reveals a life lived to extremes and a heart-filled, sometimes hilarious look at what it means to be an artist and a complex man.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTVZypAefqsnfwNznXc2xpsDsVA6S8yNWi9FI5noejUV_GNgR9UARKbsf0AIEjQcLSl7yq
