 ,Title,genres,original_language,overview,poster_path
3392,Subedar Joginder Singh,"War, Action",pu,It is a biographical feature film on India's Highest Wartime Gallantry Award - Param Vir Chakra winner Subedar Joginder Singh. He fought three wars for India before achieving martyrdom in the Sino-Indian War of 1962.,http://t2.gstatic.com/images?q=tbn:ANd9GcRA06_5smWxxCJ2p6oPO1GvnMOSqk9LpuJ3MJw6v1L5bRtvUvtdbuDoN4TExHfB5a8HTxCfiYHeXyBv6LgNIkAnaN5HurZcZQ
3393,Kaptaan,"Action, Drama",pu,"Kaptaan, a carefree advocate, needs to win at least one big case to obtain his father's permission to get married. His love Preeti helps him get a case for an NRI but he must face a strong opponent.",https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcRJ4OK0ohKYle6P_uSvFW9QsvPQG2ylWQV1Qz_sXyDNk7GldmTFOr23UyHsdOP1kT9-YqQzcK8O85BeCtAu
3394,Kande,"Action, Comedy",pu,"Kabaddi champion of the village, Jind raises her son to be the most honest and reputable player. Unfortunately, the son gets addicted to drugs, threatening to destroy himself and his mother.",http://t3.gstatic.com/images?q=tbn:ANd9GcS0UzIEZp-HaTP_6F5HnUJrBbGCJHDEOWDRijmsA80zQ2L98G_hcnCAdPwQ9ERgqwYvLadbQA4S5TxLbIKzq5QfxZGd3Q1Qbw
3395,Dulla Vaily,"Action, Drama",pu,"A kind, virtuous, and lion-hearted Dulla takes it upon himself to fight against a corrupt but powerful landowner who has terrorised the villagers and caused havoc as a result of his nefarious activities.",https://assets-in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/dulla-vaily-et00093196-02-01-2019-02-07-37.jpg
3396,Rocky Mental,"Action, Thriller",pu,"Rocky, a national-level boxer, earns Maninder's wrath after he gets close to his girlfriend Ibadat. Maninder frames Rocky in a rape case and kills his best friend Preet.",http://t3.gstatic.com/images?q=tbn:ANd9GcTIWibtS6-Q01eLWKknqQK-nOhbHvwrLtq-yo3MNB4y9gsfDwfFSCzf4lkaa7ejmDqXds2clq--JfsCrrki1HnaIHLka60N8g
3397,Aaja Mexico Chaliye,"Action, Thriller",pu,Pamma is an ambitious youngster from Punjab who wants to go abroad. He runs into difficulty and danger while attempting to enter America illegally through the jungles of Mexico.,http://t1.gstatic.com/images?q=tbn:ANd9GcQUxyrePqUSL3Z2Xx3kFY_p8UnoivPusPvu8dw_PBuq0OO3j0zlY-nUPPR_-qPz2tPGexG_v6CK3r3sLJYp3iQTk4Kv44r8uQ
3398,Yaar Anmulle,"Action, Thriller",pu,"As Guri, Tink and Deep find love in college, misunderstandings and barriers in communication threaten their strong bond.",https://m.media-amazon.com/images/S/pv-target-images/0c8b24db121301f1b0e90d40a6c2e063124633b59d5c72d00034d5bca25639c1.jpg
3399,Oye Bhole Oye,"Action, Thriller",pu,A Punjabi Indian boy's journey from India to Pakistan. He leaves for Europe to,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT8zXkCqNzkJ5JHCdKpc2RSLJmdXCdjPHU1cS-PUiPUqny-57nR
4000,Shahkot,"Drama, Comedy",pu,"A Punjabi Indian boy's journey from India to Pakistan. He leaves for Europe to become rich so that he can fulfill his grandmother's dream. But ends up in Pakistan and gets abundant love there. While in Pakistan, Iqbal lands himself with a job in a Haveli which is owned by Abbaji, a powerful politician. Abba ji has an autistic daughter whom he loves immensely.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSU0sw85GQ_oGmm_KYlQCPxA2IB7g1Q_tge2Ac__PSBNQo1Q8b00wI08O2UqPHJC-p4RrY&usqp=CAU
4001,Bajre Da Sitta,Drama,pu,"Bhagel Singh overhears two sisters from Zimidaar's family singing and seeks their father's permission to have them sing at his company. He agrees, on the condition that their identities remain hidden.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR2gjMZBXMPEMgSBTuOQtijwQzgRCBqU10vaL_mj-Y4MIeEx3i4GLkvUk1THbYHvCjIWjic
